recombinations,sequencing errors,recurrent mutations,run seed,run time,se_cost,rm_cost,r_cost,rr_cost,temp,recomb_max,rm_max
94,0,0,3532781329.000000,1.515577,-1,-1,1,2,50,94,600
80,0,0,2687216974.000000,1.299001,-1,-1,1,2,50,80,600
108,0,0,1804209763.000000,61.883489,3,3.01,1,2,50,999,600
100,0,0,2233891803.000000,65.608627,3,3.01,1,2,50,999,600
110,0,0,1930826583.000000,70.988614,2,2.01,1,2,50,999,600
114,0,0,3726554249.000000,73.291550,2,2.01,1,2,50,999,600
-90,0,-1,3694232569.000000,54.388511,1.5,1.51,1,2,50,999,600
-99,-1,0,1948502860.000000,62.553822,1.5,1.51,1,2,50,999,600
-38,-59,-35,2842488040.000000,180.624949,1.1,1.11,1,2,50,999,600
-3,-64,-34,2306541545.000000,181.541096,1,1.01,1,2,50,999,600
-1,-62,-30,2372115797.000000,180.698628,0.9,0.91,1,2,50,999,600
0,-67,-32,2513547404.000000,180.118508,0.7,0.71,1,2,50,999,600
0,-54,-33,3542007549.000000,182.229265,0.5,0.51,1,2,50,999,600
0,-61,-29,2852090386.000000,181.345527,0.3,0.31,1,2,50,999,600
0,-59,-27,2979344321.000000,181.234830,0.1,0.11,1,2,50,999,600
0,-66,-26,2615510056.000000,181.930840,0.01,0.02,1,2,50,999,600
0,-99,-3,2447542145.000000,181.718583,1,1.1,-1,-1,50,999,600
88,0,0,3508407788.000000,1.104737,-1,-1,1,2,100,88,600
85,0,0,1740560732.000000,1.092724,-1,-1,1,2,100,85,600
95,0,0,3730068656.000000,57.579095,3,3.01,1,2,100,999,600
97,0,0,2532898348.000000,62.300504,3,3.01,1,2,100,999,600
-101,0,-1,2253288636.000000,53.666501,2,2.01,1,2,100,999,600
-109,0,-1,2301883166.000000,53.640573,2,2.01,1,2,100,999,600
84,0,1,3022086833.000000,50.333157,1.5,1.51,1,2,100,999,600
91,0,0,1971598136.000000,48.509390,1.5,1.51,1,2,100,999,600
-84,-7,-4,3073975114.000000,57.878786,1.1,1.11,1,2,100,999,600
-84,-3,0,3783261091.000000,51.908097,1.1,1.11,1,2,100,999,600
-6,-73,-33,3542931767.000000,181.563282,1,1.01,1,2,100,999,600
0,-68,-29,2984157321.000000,181.925823,0.9,0.91,1,2,100,999,600
0,-71,-20,2132357992.000000,180.543963,0.7,0.71,1,2,100,999,600
0,-67,-27,3065501395.000000,181.371427,0.5,0.51,1,2,100,999,600
0,-64,-26,2783640038.000000,181.108769,0.3,0.31,1,2,100,999,600
0,-68,-22,2783891015.000000,180.814216,0.1,0.11,1,2,100,999,600
0,-71,-27,3496569235.000000,181.643569,0.01,0.02,1,2,100,999,600
0,-112,0,3284104826.000000,180.330605,1,1.1,-1,-1,100,999,600
98,0,0,3483989113.000000,1.500271,-1,-1,1,2,50,98,600
93,0,0,2576391969.000000,1.843378,-1,-1,1,2,50,93,600
108,0,0,2514612294.000000,55.550622,3,3.01,1,2,50,999,600
107,0,0,2746952249.000000,73.437026,3,3.01,1,2,50,999,600
106,0,0,3610320132.000000,57.302925,2,2.01,1,2,50,999,600
97,0,0,2554424821.000000,61.255680,2,2.01,1,2,50,999,600
-96,0,-1,3755940031.000000,73.698262,1.5,1.51,1,2,50,999,600
-93,-2,-1,3521054270.000000,63.567574,1.5,1.51,1,2,50,999,600
-47,-50,-26,3150397594.000000,180.884872,1.1,1.11,1,2,50,999,600
-9,-69,-34,3607647748.000000,181.080439,1,1.01,1,2,50,999,600
0,-82,-29,3414392607.000000,181.186279,0.9,0.91,1,2,50,999,600
0,-50,-35,2248708473.000000,180.321297,0.7,0.71,1,2,50,999,600
0,-57,-35,3589099965.000000,181.079519,0.5,0.51,1,2,50,999,600
0,-58,-36,1865872224.000000,181.281026,0.3,0.31,1,2,50,999,600
0,-74,-26,2687378027.000000,180.360873,0.1,0.11,1,2,50,999,600
0,-65,-21,2342258735.000000,181.058703,0.01,0.02,1,2,50,999,600
0,-91,-6,3091989047.000000,180.715565,1,1.1,-1,-1,50,999,600
85,0,0,2880102247.000000,1.111075,-1,-1,1,2,100,85,600
83,0,0,2533843023.000000,1.018158,-1,-1,1,2,100,83,600
101,0,0,2604292633.000000,52.047060,3,3.01,1,2,100,999,600
91,0,0,2555093672.000000,65.107242,3,3.01,1,2,100,999,600
-91,0,-1,1842667058.000000,53.609828,2,2.01,1,2,100,999,600
-83,-1,0,2577252385.000000,54.133580,2,2.01,1,2,100,999,600
-97,-1,0,3773114098.000000,51.199266,1.5,1.51,1,2,100,999,600
-92,0,-1,1958567623.000000,52.103063,1.5,1.51,1,2,100,999,600
-83,-10,-2,2122226052.000000,52.733187,1.1,1.11,1,2,100,999,600
-83,-5,-5,1908107046.000000,58.626070,1.1,1.11,1,2,100,999,600
-15,-66,-21,3148867087.000000,180.505786,1,1.01,1,2,100,999,600
0,-68,-20,3504459359.000000,180.640370,0.9,0.91,1,2,100,999,600
0,-68,-26,3196995375.000000,181.746907,0.7,0.71,1,2,100,999,600
0,-73,-25,3170807818.000000,180.282401,0.5,0.51,1,2,100,999,600
0,-69,-33,2448008328.000000,181.424384,0.3,0.31,1,2,100,999,600
0,-68,-28,2880572367.000000,180.057112,0.1,0.11,1,2,100,999,600
0,-72,-27,3012834643.000000,181.790517,0.01,0.02,1,2,100,999,600
0,-107,-1,1872764132.000000,180.744938,1,1.1,-1,-1,100,999,600
