recombinations,sequencing errors,recurrent mutations,run seed,run time,se_cost,rm_cost,r_cost,rr_cost,temp,recomb_max,rm_max
-32,0,0,2192822770.000000,265.971795,-1,-1,1,2,60,999,2147483647
-19,0,0,1738241511.000000,278.898866,3,3.01,1,2,60,999,2147483647
-19,0,0,1691801304.000000,274.263877,2,2.01,1,2,60,999,2147483647
-9,-5,0,3309958114.000000,269.065250,1.5,1.51,1,2,60,999,2147483647
-10,-5,0,3692227854.000000,277.773824,1.1,1.11,1,2,60,999,2147483647
-3,-12,0,3542134842.000000,266.324576,1,1.01,1,2,60,999,2147483647
-1,-13,0,2009337239.000000,264.841247,0.9,0.91,1,2,60,999,2147483647
0,-15,0,1718687010.000000,273.426773,0.7,0.71,1,2,60,999,2147483647
0,-15,0,2124965885.000000,264.617404,0.5,0.51,1,2,60,999,2147483647
0,-15,0,1864611801.000000,260.381833,0.3,0.31,1,2,60,999,2147483647
0,-15,0,3180251013.000000,266.684521,0.1,0.11,1,2,60,999,2147483647
0,-16,0,2429369668.000000,271.321804,0.01,0.02,1,2,60,999,2147483647
0,-32,0,3413361576.000000,262.701440,1,1.1,-1,-1,60,999,2147483647
-32,0,0,3017963584.000000,268.868555,-1,-1,1,2,100,999,2147483647
-15,0,0,2705645186.000000,273.703207,3,3.01,1,2,100,999,2147483647
-17,-1,0,2705221471.000000,275.392657,2,2.01,1,2,100,999,2147483647
-10,-5,0,3663369169.000000,265.250112,1.5,1.51,1,2,100,999,2147483647
-7,-8,0,2347615402.000000,270.136275,1.1,1.11,1,2,100,999,2147483647
-3,-12,0,3103196912.000000,271.365281,1,1.01,1,2,100,999,2147483647
0,-16,0,3693170974.000000,262.785571,0.9,0.91,1,2,100,999,2147483647
0,-15,0,3311824229.000000,262.822645,0.7,0.71,1,2,100,999,2147483647
0,-15,0,2982936876.000000,269.347193,0.5,0.51,1,2,100,999,2147483647
0,-16,0,1792439297.000000,272.026656,0.3,0.31,1,2,100,999,2147483647
0,-15,0,2472014661.000000,260.700458,0.1,0.11,1,2,100,999,2147483647
0,-16,0,2363534910.000000,262.960762,0.01,0.02,1,2,100,999,2147483647
0,-30,-1,3445347288.000000,265.391613,1,1.1,-1,-1,100,999,2147483647
