recombinations,sequencing errors,recurrent mutations,run seed,run time,se_cost,rm_cost,r_cost,rr_cost,temp,recomb_max,rm_max
-3,0,0,3662848407.000000,277.870424,-1,-1,1,2,60,999,2147483647
-1,0,0,3119195314.000000,281.745133,3,3.01,1,2,60,999,2147483647
-2,0,0,3633720904.000000,405.242788,2,2.01,1,2,60,999,2147483647
-2,0,0,3015484559.000000,400.388718,1.5,1.51,1,2,60,999,2147483647
-2,-1,0,2479718095.000000,400.264270,1.1,1.11,1,2,60,999,2147483647
0,-2,0,3092726037.000000,399.689968,1,1.01,1,2,60,999,2147483647
0,-2,0,3399867435.000000,396.934991,0.9,0.91,1,2,60,999,2147483647
0,-2,0,2578655300.000000,398.128560,0.7,0.71,1,2,60,999,2147483647
0,-2,0,2210575955.000000,399.814484,0.5,0.51,1,2,60,999,2147483647
0,-2,0,3547590242.000000,399.195724,0.3,0.31,1,2,60,999,2147483647
0,-2,0,2542448369.000000,396.721381,0.1,0.11,1,2,60,999,2147483647
0,-2,0,3144582004.000000,402.600660,0.01,0.02,1,2,60,999,2147483647
0,-4,0,2934545769.000000,294.888451,1,1.1,-1,-1,60,999,2147483647
-3,0,0,2118170321.000000,271.868263,-1,-1,1,2,100,999,2147483647
-3,0,0,3370418890.000000,400.950105,3,3.01,1,2,100,999,2147483647
-2,0,0,3134868757.000000,401.226723,2,2.01,1,2,100,999,2147483647
