recombinations,sequencing errors,recurrent mutations,run seed,run time,se_cost,rm_cost,r_cost,rr_cost,temp,recomb_max,rm_max
46,0,0,1767344950.000000,0.684330,-1,-1,1,2,30,46,150
42,0,0,3111801867.000000,0.412024,-1,-1,1,2,30,42,150
54,0,0,3766112380.000000,0.622919,-1,-1,1,2,30,999,150
47,0,0,3450269939.000000,0.357872,-1,-1,1,2,30,999,150
53,0,0,2457780615.000000,7.669869,-1,-1,1,2,30,999,150
-42,-2,-5,2547560322.000000,2.326706,3,3.01,1,2,30,999,150
85,0,0,2078538776.000000,2.402439,3,3.01,1,2,30,999,150
-42,-3,-1,1765819354.000000,1.723749,3,3.01,1,2,30,999,150
-42,-2,-2,3745150146.000000,1.698128,3,3.01,1,2,30,999,150
-43,-3,-2,3725277658.000000,1.756431,3,3.01,1,2,30,999,150
-42,-4,-3,2959771293.000000,2.215557,2,2.01,1,2,30,999,150
-42,-10,-5,2891196786.000000,2.842349,2,2.01,1,2,30,999,150
-42,-3,-3,3120502103.000000,1.751516,2,2.01,1,2,30,999,150
-42,-1,-1,1992717786.000000,1.765263,2,2.01,1,2,30,999,150
-43,-5,-1,2811115429.000000,2.242602,2,2.01,1,2,30,999,150
-42,-8,-2,2954410584.000000,1.583179,1.5,1.51,1,2,30,999,150
-42,-3,-5,2445108427.000000,1.839700,1.5,1.51,1,2,30,999,150
-42,-9,-8,3548419298.000000,2.728362,1.5,1.51,1,2,30,999,150
-42,-18,-15,2385538416.000000,3.749412,1.5,1.51,1,2,30,999,150
-42,-12,-7,3789358912.000000,2.263738,1.5,1.51,1,2,30,999,150
-42,-19,-24,2707204805.000000,4.425688,1.2,1.21,1,2,30,999,150
-42,-21,-27,2219297110.000000,5.667155,1.2,1.21,1,2,30,999,150
-42,-16,-21,2074891333.000000,2.310221,1.2,1.21,1,2,30,999,150
-42,-31,-20,1985797903.000000,3.069548,1.2,1.21,1,2,30,999,150
-42,-33,-35,3054721563.000000,6.203015,1.2,1.21,1,2,30,999,150
-42,-25,-57,3272736513.000000,5.185456,1.1,1.11,1,2,30,999,150
-43,-46,-60,2834943543.000000,8.806323,1.1,1.11,1,2,30,999,150
-42,-31,-49,2310933812.000000,3.387078,1.1,1.11,1,2,30,999,150
-42,-40,-28,2323659890.000000,5.140411,1.1,1.11,1,2,30,999,150
-42,-35,-36,3665294390.000000,3.456246,1.1,1.11,1,2,30,999,150
-42,-78,-62,3764512982.000000,5.938430,1,1.01,1,2,30,999,150
41,35,39,2974682204.000000,3.404733,1,1.01,1,2,30,999,150
-41,-45,-53,3309099262.000000,5.447501,1,1.01,1,2,30,999,150
-41,-59,-61,3072745257.000000,3.995571,1,1.01,1,2,30,999,150
-41,-68,-50,3263846131.000000,9.692745,1,1.01,1,2,30,999,150
-32,-81,-70,3455730768.000000,4.703006,0.9,0.91,1,2,30,999,150
-6,-108,-43,2035676136.000000,3.108165,0.7,0.71,1,2,30,999,150
0,-134,-17,2240317360.000000,7.948790,0.5,0.51,1,2,30,999,150
0,-133,-18,2924883568.000000,8.021866,0.3,0.31,1,2,30,999,150
0,-147,-4,2317688866.000000,9.443886,0.1,0.11,1,2,30,999,150
0,-133,-18,2389404609.000000,4.593316,0.01,0.02,1,2,30,999,150
0,-142,-9,2173832742.000000,5.759942,1,1.1,-1,-1,30,999,150
