recombinations,sequencing errors,recurrent mutations,run seed,run time,se_cost,rm_cost,r_cost,rr_cost,temp,recomb_max,rm_max
105,0,0,3461823316.000000,7.694766,-1,-1,1,2,50,105,600
77,0,0,3161177121.000000,0.981160,-1,-1,1,2,50,77,600
131,0,0,1652566457.000000,10.685796,3,3.01,1,2,50,999,600
-77,0,-1,2061028437.000000,10.276975,3,3.01,1,2,50,999,600
-77,0,-1,1683590256.000000,9.759842,2,2.01,1,2,50,999,600
-77,0,-1,3027925593.000000,9.330816,2,2.01,1,2,50,999,600
-77,-3,-7,2500014994.000000,8.680078,1.5,1.51,1,2,50,999,600
-77,-5,-6,2752765295.000000,10.507574,1.5,1.51,1,2,50,999,600
-77,-40,-81,3622515649.000000,25.877072,1.1,1.11,1,2,50,999,600
-77,-31,-85,3635108655.000000,29.208748,1.1,1.11,1,2,50,999,600
-77,-102,-197,2524187740.000000,59.223753,1,1.01,1,2,50,999,600
-77,-83,-194,3371551838.000000,108.413296,1,1.01,1,2,50,999,600
-18,-240,-186,2064776900.000000,180.223317,0.9,0.91,1,2,50,999,600
-1,-268,-156,3296653479.000000,180.253195,0.7,0.71,1,2,50,999,600
-1,-341,-144,3267742896.000000,180.307325,0.5,0.51,1,2,50,999,600
0,-256,-109,2889702801.000000,180.484456,0.3,0.31,1,2,50,999,600
0,-448,-153,1804864735.000000,166.810008,0.1,0.11,1,2,50,999,600
0,-309,-96,3781751705.000000,180.104029,0.01,0.02,1,2,50,999,600
0,-496,-105,2746996257.000000,88.770621,1,1.1,-1,-1,50,999,600
82,0,0,2772426363.000000,1.503030,-1,-1,1,2,100,82,600
79,0,0,1834733525.000000,1.542612,-1,-1,1,2,100,79,600
100,0,0,2519143635.000000,9.533795,3,3.01,1,2,100,999,600
101,0,0,1882312413.000000,9.980683,3,3.01,1,2,100,999,600
-79,-1,0,2170819431.000000,8.543032,2,2.01,1,2,100,999,600
97,0,0,2253441371.000000,10.884567,2,2.01,1,2,100,999,600
