recombinations,back mutations,recurrent mutations,run seed,time to build,recombination cost,recurrent mutation cost,back mutation cost
0,0,0,1059,0.000009,0.5,1,1
0,0,0,641061758,0.000003,0.5,1,1
0,0,0,1525765027,0.000003,0.5,1,1
0,0,0,1885014591,0.000003,0.5,1,1
0,0,0,1970821256,0.000002,0.5,1,1
0,0,0,1803406948,0.000003,0.5,1,1
0,0,0,133010885,0.000003,0.5,1,1
0,0,0,1313970186,0.000002,0.5,1,1
0,0,0,2045488357,0.000002,0.5,1,1
0,0,0,327231835,0.000002,0.5,1,1
0,0,0,1687770818,0.000003,0.5,1,1
0,0,0,627714602,0.000002,0.5,1,1
0,0,0,713496968,0.000003,0.5,1,1
0,0,0,37743021,0.000002,0.5,1,1
0,0,0,1074130678,0.000004,0.5,1,1
0,0,0,1204393691,0.000003,0.5,1,1
0,0,0,360184605,0.000002,0.5,1,1
0,0,0,568911403,0.000003,0.5,1,1
0,0,0,1288587838,0.000003,0.5,1,1
0,0,0,83117544,0.000003,0.5,1,1
0,0,0,1919103697,0.000003,0.5,1,1
0,0,0,1118308768,0.000003,0.5,1,1
0,0,0,1726210165,0.000002,0.5,1,1
0,0,0,2092400783,0.000002,0.5,1,1
0,0,0,1943148777,0.000002,0.5,1,1
0,0,0,1943148777,0.000002,0.6,1,1
0,0,0,342907149,0.000003,0.6,1,1
0,0,0,1971259292,0.000002,0.6,1,1
0,0,0,271321419,0.000002,0.6,1,1
0,0,0,711086038,0.000004,0.6,1,1
0,0,0,1327160914,0.000002,0.6,1,1
0,0,0,295542869,0.000003,0.6,1,1
0,0,0,622223796,0.000002,0.6,1,1
0,0,0,1837998377,0.000005,0.6,1,1
0,0,0,260509946,0.000003,0.6,1,1
0,0,0,184974960,0.000048,0.6,1,1
0,0,0,215329581,0.000024,0.6,1,1
0,0,0,1732020197,0.000005,0.6,1,1
0,0,0,1573399118,0.000005,0.6,1,1
0,0,0,1821342349,0.000004,0.6,1,1
0,0,0,83620333,0.000003,0.6,1,1
0,0,0,1388595166,0.000004,0.6,1,1
0,0,0,1636238142,0.000002,0.6,1,1
0,0,0,159265896,0.000002,0.6,1,1
0,0,0,1474203603,0.000002,0.6,1,1
0,0,0,453776940,0.000002,0.6,1,1
0,0,0,2143133402,0.000002,0.6,1,1
