recombinations,back mutations,recurrent mutations,run seed,time to build,recombination cost,recurrent mutation cost,back mutation cost
510,9,413,1022,0.407817,0.9,1,1.1
496,5,420,974571061,0.391610,0.9,1,1.1
516,7,406,883283449,0.410613,0.9,1,1.1
501,3,421,1985935124,0.373384,0.9,1,1.1
496,13,418,1588257310,0.414865,0.9,1,1.1
475,6,423,296909495,0.372717,0.9,1,1.1
489,6,419,618797258,0.380204,0.9,1,1.1
527,11,402,2103227249,0.429913,0.9,1,1.1
487,12,418,1875987933,0.392452,0.9,1,1.1
487,9,416,1212396684,0.408494,0.9,1,1.1
25,6,838,1212396684,0.075818,1,1,1.1
16,4,857,839197085,0.059443,1,1,1.1
27,6,847,1102621821,0.076009,1,1,1.1
29,4,834,1459112341,0.063984,1,1,1.1
30,4,839,1667454792,0.067635,1,1,1.1
30,9,836,1691090267,0.078463,1,1,1.1
27,6,845,2100037135,0.077086,1,1,1.1
25,5,841,1986128441,0.063623,1,1,1.1
21,9,844,1714592910,0.070979,1,1,1.1
32,2,839,1395696039,0.064785,1,1,1.1
513,9,407,1395696039,0.415927,0.9,1,1.5
492,11,418,311875658,0.406472,0.9,1,1.5
495,12,407,798071993,0.416040,0.9,1,1.5
502,8,413,628010389,0.422739,0.9,1,1.5
507,6,412,1343095937,0.429412,0.9,1,1.5
485,6,426,1763672852,0.402442,0.9,1,1.5
495,10,410,693912391,0.409968,0.9,1,1.5
510,8,413,631903627,0.436368,0.9,1,1.5
484,8,431,55714689,0.400064,0.9,1,1.5
504,9,416,1197716886,0.422081,0.9,1,1.5
34,6,841,1197716886,0.080622,1,1,1.5
29,4,839,658175386,0.074410,1,1,1.5
29,9,833,2024727643,0.077569,1,1,1.5
32,5,842,1009479760,0.077000,1,1,1.5
27,5,838,1096593657,0.073629,1,1,1.5
23,8,834,1401375708,0.062010,1,1,1.5
26,7,829,1157570385,0.080591,1,1,1.5
22,7,837,286908657,0.064870,1,1,1.5
23,6,844,525392925,0.067656,1,1,1.5
32,5,839,1202192397,0.075393,1,1,1.5
497,0,421,1202192397,0.379816,0.9,1,2
498,4,415,236809202,0.388394,0.9,1,2
521,0,417,1402831063,0.379875,0.9,1,2
515,2,415,1128631892,0.393706,0.9,1,2
531,0,407,992239851,0.432801,0.9,1,2
518,0,411,1880862604,0.390255,0.9,1,2
527,0,419,1179336743,0.389230,0.9,1,2
490,0,420,1679863065,0.373887,0.9,1,2
515,0,413,1459194808,0.384976,0.9,1,2
539,0,405,335626579,0.429762,0.9,1,2
38,3,839,335626579,0.067330,1,1,2
30,6,839,1265235120,0.076827,1,1,2
26,2,846,1242261505,0.063540,1,1,2
31,4,835,67619441,0.071014,1,1,2
