recombinations,back mutations,recurrent mutations,run seed,time to build,recombination cost,recurrent mutation cost,back mutation cost
178,36,151,1828,0.232912,0.9,1,1
177,39,154,1408477413,0.231329,0.9,1,1
181,42,150,1018006509,0.287241,0.9,1,1
172,31,158,550929916,0.232094,0.9,1,1
186,41,158,244642333,0.260033,0.9,1,1
155,38,171,424204882,0.221338,0.9,1,1
189,41,145,1873319903,0.262408,0.9,1,1
162,37,162,854687065,0.211603,0.9,1,1
157,41,158,240866601,0.206614,0.9,1,1
177,33,153,1488307202,0.268424,0.9,1,1
173,44,153,1418108923,0.239097,0.9,1,1
172,47,147,742245930,0.232835,0.9,1,1
170,48,166,474481217,0.251381,0.9,1,1
170,43,152,155869711,0.223047,0.9,1,1
148,40,168,574676740,0.235149,0.9,1,1
20,89,229,574676740,0.108927,1,1,1
29,89,230,924046894,0.116408,1,1,1
43,70,228,1486427267,0.123644,1,1,1
36,79,230,1739560990,0.133347,1,1,1
35,81,230,804410446,0.112997,1,1,1
34,76,238,480138426,0.121500,1,1,1
37,96,216,1487982654,0.126847,1,1,1
43,81,227,780910070,0.177847,1,1,1
31,65,246,1960774723,0.202778,1,1,1
40,87,214,1572036340,0.179299,1,1,1
36,86,225,1724591625,0.152514,1,1,1
35,76,227,13316446,0.124619,1,1,1
34,70,225,1279078305,0.122532,1,1,1
34,66,236,1039570789,0.157899,1,1,1
43,76,226,750362339,0.182172,1,1,1
46,83,222,750362339,0.173464,1.1,1,1
33,82,227,1157977761,0.142327,1.1,1,1
31,91,212,2136559355,0.131721,1.1,1,1
40,77,230,2005808858,0.151381,1.1,1,1
34,85,220,1715934319,0.126679,1.1,1,1
28,95,214,1274117925,0.102709,1.1,1,1
32,71,229,1005122232,0.118275,1.1,1,1
38,89,221,1223328997,0.134318,1.1,1,1
30,83,229,663059728,0.123805,1.1,1,1
36,80,223,1900676762,0.123683,1.1,1,1
33,81,231,97286135,0.127407,1.1,1,1
40,85,214,1733586523,0.120696,1.1,1,1
33,72,228,770321074,0.125050,1.1,1,1
43,77,221,1837578396,0.220947,1.1,1,1
25,111,206,973436688,0.129615,1.1,1,1
168,42,159,973436688,0.351579,0.9,1,1.3
161,29,165,1038124800,0.383472,0.9,1,1.3
180,23,166,347732802,0.359807,0.9,1,1.3
