recombinations,back mutations,recurrent mutations,run seed,time to build,recombination cost,recurrent mutation cost,back mutation cost
3412,276,4866,978,177.789979,0.9,1,1.1
3446,270,4870,681483066,185.156695,0.9,1,1.1
3484,298,4827,558393201,177.277292,0.9,1,1.1
3318,264,4938,76218786,169.679590,0.9,1,1.1
3448,283,4886,1105558654,188.415203,0.9,1,1.1
3442,263,4895,672994047,183.766890,0.9,1,1.1
3427,265,4865,1456866409,181.524246,0.9,1,1.1
3396,294,4909,1155030118,186.249295,0.9,1,1.1
3456,279,4880,622056696,188.274996,0.9,1,1.1
3432,289,4855,1447774999,183.737162,0.9,1,1.1
1083,239,6867,1447774999,54.962294,1,1,1.1
1080,257,6887,1697007045,55.122043,1,1,1.1
1044,256,6892,299293739,54.296100,1,1,1.1
1157,254,6861,428717336,55.784396,1,1,1.1
1052,258,6906,1796192134,53.334841,1,1,1.1
1071,231,6908,795999708,52.834202,1,1,1.1
1008,241,6924,402024400,49.651465,1,1,1.1
1067,246,6902,1245054096,54.906199,1,1,1.1
1055,235,6876,1688221581,53.265420,1,1,1.1
1068,249,6876,872751624,56.553126,1,1,1.1
3362,251,4958,872751624,172.253339,0.9,1,1.5
3456,245,4890,2042677826,188.266034,0.9,1,1.5
3542,236,4868,468122901,191.118797,0.9,1,1.5
3561,234,4874,1987406554,187.532285,0.9,1,1.5
3527,225,4886,1231598693,179.554924,0.9,1,1.5
3464,231,4903,427233850,183.830043,0.9,1,1.5
3578,281,4843,91507494,188.811115,0.9,1,1.5
3482,247,4892,339030911,184.046814,0.9,1,1.5
3534,214,4908,1109725886,186.529673,0.9,1,1.5
3422,224,4927,673284380,180.677101,0.9,1,1.5
1069,232,6876,673284380,52.858725,1,1,1.5
1016,260,6919,2127666271,51.571692,1,1,1.5
1041,216,6978,396071250,52.976752,1,1,1.5
1049,254,6907,231164844,54.843612,1,1,1.5
1066,235,6898,76440856,52.388342,1,1,1.5
1051,255,6890,351373439,53.525997,1,1,1.5
1092,225,6912,2102398381,56.896427,1,1,1.5
1111,259,6894,1058400778,59.332160,1,1,1.5
1042,255,6936,1544682111,52.658222,1,1,1.5
1119,229,6860,1742051033,56.262575,1,1,1.5
3812,89,4920,1742051033,184.680464,0.9,1,2
3847,95,4900,1519309983,195.353668,0.9,1,2
3799,65,4970,657872391,184.726397,0.9,1,2
3868,92,4915,1653931509,202.198416,0.9,1,2
3874,86,4931,933510768,194.888983,0.9,1,2
3890,72,4908,261785013,202.525713,0.9,1,2
4055,99,4830,1577124297,215.217947,0.9,1,2
3902,95,4891,1372597804,202.568647,0.9,1,2
3768,80,4951,199041869,193.471434,0.9,1,2
3851,90,4935,462602976,196.539736,0.9,1,2
