recombinations,back mutations,recurrent mutations,run seed,time to build,recombination cost,recurrent mutation cost,back mutation cost
395,62,91,1460,1.753519,0.9,1,1.1
399,61,94,1884781562,1.935067,0.9,1,1.1
383,55,105,325461450,1.916121,0.9,1,1.1
388,56,107,483351413,1.710702,0.9,1,1.1
388,66,91,1947828881,1.732660,0.9,1,1.1
390,83,85,1758709814,1.714284,0.9,1,1.1
402,56,100,1297756369,1.939448,0.9,1,1.1
397,46,105,2045009891,1.784071,0.9,1,1.1
391,63,97,1668209356,1.889523,0.9,1,1.1
383,60,106,574561951,1.699128,0.9,1,1.1
195,57,300,574561951,1.278130,1,1,1.1
210,60,278,340823915,1.210728,1,1,1.1
214,53,288,1162486089,1.389961,1,1,1.1
190,68,293,367041900,1.424780,1,1,1.1
203,70,278,1021110675,1.317756,1,1,1.1
208,60,281,1825295996,1.321884,1,1,1.1
210,58,279,1988523741,1.485610,1,1,1.1
224,62,273,1155646289,1.448068,1,1,1.1
215,58,271,1112970977,1.361218,1,1,1.1
210,53,298,533420556,1.538771,1,1,1.1
406,51,101,533420556,1.945099,0.9,1,1.5
382,58,111,1884826373,1.550960,0.9,1,1.5
407,67,84,1742303213,1.715860,0.9,1,1.5
392,51,100,1426658678,1.697259,0.9,1,1.5
398,52,113,237155335,1.892902,0.9,1,1.5
400,50,111,1982069176,1.966262,0.9,1,1.5
415,48,97,586666309,2.429462,0.9,1,1.5
399,55,98,1872850921,1.781125,0.9,1,1.5
403,52,112,535199869,2.166362,0.9,1,1.5
389,62,100,812997602,1.755397,0.9,1,1.5
219,61,272,812997602,1.217042,1,1,1.5
188,71,289,1556122295,1.157812,1,1,1.5
196,54,290,157708984,1.402033,1,1,1.5
212,40,288,102731114,1.314875,1,1,1.5
200,66,290,1431443049,1.138984,1,1,1.5
211,62,275,1254975952,1.201620,1,1,1.5
197,52,300,2106181564,1.109961,1,1,1.5
207,63,289,1068899285,1.436509,1,1,1.5
204,56,299,1913849621,1.298276,1,1,1.5
193,58,307,1037053048,1.178611,1,1,1.5
429,34,128,1037053048,1.801568,0.9,1,2
442,28,122,1562690724,2.211113,0.9,1,2
427,33,109,860531789,2.265670,0.9,1,2
437,31,121,24670473,1.956142,0.9,1,2
422,33,117,605005688,1.999742,0.9,1,2
449,22,121,1586414265,1.979765,0.9,1,2
439,34,113,257022747,1.940076,0.9,1,2
439,26,109,799030220,1.861834,0.9,1,2
438,29,120,1118550051,2.221958,0.9,1,2
427,33,120,416943419,2.032303,0.9,1,2
198,49,315,416943419,1.244582,1,1,2
225,47,285,201305452,1.275966,1,1,2
208,35,317,1067240570,1.262921,1,1,2
202,52,306,451682415,1.273808,1,1,2
198,42,313,1248541194,1.210354,1,1,2
208,36,324,863547590,1.354722,1,1,2
204,53,306,1894874621,1.323273,1,1,2
203,44,305,637454,1.254284,1,1,2
209,54,287,1956461063,1.369233,1,1,2
192,39,328,1307923601,1.105625,1,1,2
436,11,141,1307923601,1.894248,0.9,1,3
437,22,132,1928172235,2.250442,0.9,1,3
436,13,154,1922363192,2.126499,0.9,1,3
431,21,148,2005233277,2.072099,0.9,1,3
450,13,133,1419326860,1.988936,0.9,1,3
454,15,136,108743635,2.299368,0.9,1,3
444,24,138,669758337,2.522392,0.9,1,3
443,13,138,1367358042,2.029309,0.9,1,3
438,12,133,1822963745,2.188296,0.9,1,3
432,31,122,1311493644,2.114279,0.9,1,3
220,15,338,1311493644,1.351748,1,1,3
230,12,353,752877152,1.603117,1,1,3
232,19,328,1197433267,1.428049,1,1,3
224,24,326,1595278373,1.357227,1,1,3
232,13,341,1157162736,1.496971,1,1,3
246,12,326,2090603416,1.571543,1,1,3
249,27,315,1712883140,1.542613,1,1,3
243,23,334,1350398503,1.514567,1,1,3
223,23,327,203007186,1.358754,1,1,3
239,16,335,1062172680,1.555416,1,1,3
308,194,270,1942,1.574343,0.9,1,1.1
303,205,240,1459751669,1.665018,0.9,1,1.1
302,190,277,109314886,1.590312,0.9,1,1.1
328,165,274,469359845,1.666231,0.9,1,1.1
326,187,262,1817196773,1.733684,0.9,1,1.1
324,181,270,1627419434,1.749285,0.9,1,1.1
325,185,278,1323172842,1.741872,0.9,1,1.1
316,185,279,2122966334,1.817162,0.9,1,1.1
319,199,261,342105093,1.715502,0.9,1,1.1
321,186,277,1373190095,1.728403,0.9,1,1.1
200,211,247,1373190095,1.277938,1,1,1.1
197,200,250,144457861,1.299060,1,1,1.1
202,204,232,2084607534,1.188764,1,1,1.1
223,176,245,958897354,1.404295,1,1,1.1
212,210,245,1225837947,1.367804,1,1,1.1
