recombinations,back mutations,recurrent mutations,run seed,time to build,recombination cost,recurrent mutation cost,back mutation cost
1660,121,424,1016,33.365942,0.9,1,1.1
1660,139,399,394546513,39.485883,0.9,1,1.1
1696,146,390,1334561626,43.294261,0.9,1,1.1
1649,138,418,529314840,39.799060,0.9,1,1.1
1692,127,386,1650109534,41.103019,0.9,1,1.1
1684,139,389,20229645,41.117214,0.9,1,1.1
1687,127,399,2014916297,40.844491,0.9,1,1.1
1681,134,393,990644170,42.350431,0.9,1,1.1
1705,131,398,2001676330,51.251714,0.9,1,1.1
1695,133,402,1395558924,43.212540,0.9,1,1.1
707,132,1367,1395558924,23.650768,1,1,1.1
715,127,1338,302827383,21.602412,1,1,1.1
689,143,1331,2069735688,21.806767,1,1,1.1
678,139,1372,1695873796,21.288155,1,1,1.1
697,119,1369,1522495576,21.683400,1,1,1.1
665,116,1395,1310515038,21.978087,1,1,1.1
668,125,1385,1004391086,21.426801,1,1,1.1
697,129,1372,1298480192,22.387046,1,1,1.1
676,111,1389,1288532677,19.841661,1,1,1.1
675,136,1367,1147839229,19.629200,1,1,1.1
1685,120,414,1147839229,37.714139,0.9,1,1.5
1669,119,428,444047782,39.437921,0.9,1,1.5
1681,109,410,1025720831,40.673683,0.9,1,1.5
1718,113,407,889567674,43.463600,0.9,1,1.5
1689,126,407,794792906,42.213737,0.9,1,1.5
1642,137,423,63930991,38.900976,0.9,1,1.5
1720,124,382,174803791,39.256340,0.9,1,1.5
1690,101,423,16929938,39.837078,0.9,1,1.5
1714,110,401,207301122,39.197555,0.9,1,1.5
1681,104,424,896949952,42.098936,0.9,1,1.5
649,124,1408,896949952,21.570997,1,1,1.5
649,117,1406,379035858,19.493419,1,1,1.5
669,120,1387,1207163292,21.209819,1,1,1.5
664,111,1412,1345913603,21.224296,1,1,1.5
674,146,1355,384311039,21.152764,1,1,1.5
702,105,1391,775607071,22.434591,1,1,1.5
644,128,1407,27470903,21.076265,1,1,1.5
673,116,1379,785599547,24.502200,1,1,1.5
684,115,1399,1107350868,21.831273,1,1,1.5
685,116,1377,599122767,20.590325,1,1,1.5
1792,45,454,599122767,36.144031,0.9,1,2
1817,53,417,836321362,38.712921,0.9,1,2
1797,50,444,1575411635,39.831373,0.9,1,2
1802,40,468,1328007194,40.529644,0.9,1,2
1809,56,424,95457125,40.915521,0.9,1,2
1778,41,460,1548988148,39.107690,0.9,1,2
1778,51,441,974744291,41.511370,0.9,1,2
1765,45,468,993751376,41.889640,0.9,1,2
1793,48,439,1556830244,40.917961,0.9,1,2
1777,54,458,664837832,40.549139,0.9,1,2
678,86,1455,664837832,19.297517,1,1,2
667,86,1451,497635761,19.429992,1,1,2
697,83,1432,164269091,21.048901,1,1,2
686,84,1442,261798606,20.467651,1,1,2
