recombinations,sequencing errors,recurrent mutations,run seed,se_cost,rm_cost,r_cost,rr_cost,temp,recomb_max,rm_max
9,0,0,2773141273.000000,-1,-1,1,2,50,1000,2147483647
9,0,0,2773141273.000000,-1,-1,1,2,50,9,2147483647
7,0,0,2773141273.000000,-1,-1,1,2,50,9,2147483647
7,0,0,2773141273.000000,-1,-1,1,2,50,7,2147483647
7,0,0,2773141273.000000,-1,-1,1,2,50,7,2147483647
7,0,0,2773141273.000000,-1,-1,1,2,50,7,2147483647
7,0,0,2773141273.000000,-1,-1,1,2,50,7,2147483647
6,1,0,3603787856.000000,1.9,1.91,1,2,50,1000,2147483647
7,0,0,3603787856.000000,1.9,1.91,1,2,50,1000,2147483647
7,0,0,3603787856.000000,1.9,1.91,1,2,50,1000,2147483647
7,0,0,3603787856.000000,1.9,1.91,1,2,50,1000,2147483647
6,1,0,2004939357.000000,1.8,1.81,1,2,50,1000,2147483647
6,1,0,2004939357.000000,1.8,1.81,1,2,50,1000,2147483647
5,0,1,2004939357.000000,1.8,1.81,1,2,50,1000,2147483647
7,0,0,2004939357.000000,1.8,1.81,1,2,50,1000,2147483647
5,1,0,2004939357.000000,1.8,1.81,1,2,50,1000,2147483647
5,1,0,1683896786.000000,1.7,1.71,1,2,50,1000,2147483647
5,1,0,1683896786.000000,1.7,1.71,1,2,50,1000,2147483647
5,0,1,1683896786.000000,1.7,1.71,1,2,50,1000,2147483647
7,0,0,1683896786.000000,1.7,1.71,1,2,50,1000,2147483647
7,0,0,1683896786.000000,1.7,1.71,1,2,50,1000,2147483647
7,0,0,2378067041.000000,1.6,1.61,1,2,50,1000,2147483647
7,0,0,2378067041.000000,1.6,1.61,1,2,50,1000,2147483647
5,1,0,2378067041.000000,1.6,1.61,1,2,50,1000,2147483647
5,1,0,2787144834.000000,1.5,1.51,1,2,50,1000,2147483647
7,0,0,2787144834.000000,1.5,1.51,1,2,50,1000,2147483647
