recombinations,sequencing errors,recurrent mutations,run seed,se_cost,rm_cost,r_cost,rr_cost,temp,recomb_max,rm_max
8,0,0,3355132713.000000,-1,-1,1,2,50,1000,2147483647
8,0,0,3355132713.000000,-1,-1,1,2,50,8,2147483647
8,0,0,3355132713.000000,-1,-1,1,2,50,8,2147483647
8,0,0,3355132713.000000,-1,-1,1,2,50,8,2147483647
7,0,0,3355132713.000000,-1,-1,1,2,50,8,2147483647
7,0,0,3355132713.000000,-1,-1,1,2,50,7,2147483647
7,0,0,3355132713.000000,-1,-1,1,2,50,7,2147483647
7,0,0,3355132713.000000,-1,-1,1,2,50,7,2147483647
6,1,0,2344720991.000000,1.9,1.91,1,2,50,1000,2147483647
7,0,0,2344720991.000000,1.9,1.91,1,2,50,1000,2147483647
6,1,0,2344720991.000000,1.9,1.91,1,2,50,1000,2147483647
4,4,0,3217441361.000000,1.8,1.81,1,2,50,1000,2147483647
4,2,0,3217441361.000000,1.8,1.81,1,2,50,1000,2147483647
6,1,0,3217441361.000000,1.8,1.81,1,2,50,1000,2147483647
6,1,0,3217441361.000000,1.8,1.81,1,2,50,1000,2147483647
6,1,0,3217441361.000000,1.8,1.81,1,2,50,1000,2147483647
7,0,0,3217441361.000000,1.8,1.81,1,2,50,1000,2147483647
6,1,0,3670610735.000000,1.7,1.71,1,2,50,1000,2147483647
5,1,0,3670610735.000000,1.7,1.71,1,2,50,1000,2147483647
5,0,1,3670610735.000000,1.7,1.71,1,2,50,1000,2147483647
6,1,0,3670610735.000000,1.7,1.71,1,2,50,1000,2147483647
4,2,0,3044770536.000000,1.6,1.61,1,2,50,1000,2147483647
5,0,1,3044770536.000000,1.6,1.61,1,2,50,1000,2147483647
8,0,0,3044770536.000000,1.6,1.61,1,2,50,1000,2147483647
5,1,0,3573513377.000000,1.5,1.51,1,2,50,1000,2147483647
5,0,1,2814605798.000000,1.4,1.41,1,2,50,1000,2147483647
4,1,1,2814605798.000000,1.4,1.41,1,2,50,1000,2147483647
4,2,0,3298314095.000000,1.3,1.31,1,2,50,1000,2147483647
4,2,0,3298314095.000000,1.3,1.31,1,2,50,1000,2147483647
3,5,1,2403287940.000000,1.2,1.21,1,2,50,1000,2147483647
3,4,1,2403287940.000000,1.2,1.21,1,2,50,1000,2147483647
4,2,0,2135774009.000000,1,1.01,1,2,50,1000,2147483647
2,6,0,2135774009.000000,1,1.01,1,2,50,1000,2147483647
3,3,0,2135774009.000000,1,1.01,1,2,50,1000,2147483647
4,2,0,3262765921.000000,0.9,0.91,1,2,50,1000,2147483647
3,3,0,3262765921.000000,0.9,0.91,1,2,50,1000,2147483647
3,3,0,2780055487.000000,0.8,0.81,1,2,50,1000,2147483647
4,2,0,2780055487.000000,0.8,0.81,1,2,50,1000,2147483647
2,5,0,2233973346.000000,0.7,0.71,1,2,50,1000,2147483647
3,3,0,2233973346.000000,0.7,0.71,1,2,50,1000,2147483647
3,3,0,2233973346.000000,0.7,0.71,1,2,50,1000,2147483647
3,3,0,3603433246.000000,0.6,0.61,1,2,50,1000,2147483647
2,5,0,2392198247.000000,0.5,0.51,1,2,50,1000,2147483647
2,4,1,2392198247.000000,0.5,0.51,1,2,50,1000,2147483647
2,5,0,2392198247.000000,0.5,0.51,1,2,50,1000,2147483647
2,4,1,2392198247.000000,0.5,0.51,1,2,50,1000,2147483647
3,3,0,2392198247.000000,0.5,0.51,1,2,50,1000,2147483647
2,5,0,3657691035.000000,0.4,0.41,1,2,50,1000,2147483647
2,4,1,3657691035.000000,0.4,0.41,1,2,50,1000,2147483647
2,5,0,3657691035.000000,0.4,0.41,1,2,50,1000,2147483647
2,4,1,3657691035.000000,0.4,0.41,1,2,50,1000,2147483647
2,4,1,3657691035.000000,0.4,0.41,1,2,50,1000,2147483647
2,5,0,2030070505.000000,0.3,0.31,1,2,50,1000,2147483647
2,5,0,2030070505.000000,0.3,0.31,1,2,50,1000,2147483647
2,5,0,2030070505.000000,0.3,0.31,1,2,50,1000,2147483647
2,5,0,2030070505.000000,0.3,0.31,1,2,50,1000,2147483647
2,5,0,2874303947.000000,0.2,0.21,1,2,50,1000,2147483647
2,5,0,2874303947.000000,0.2,0.21,1,2,50,1000,2147483647
2,5,0,2874303947.000000,0.2,0.21,1,2,50,1000,2147483647
2,5,0,2874303947.000000,0.2,0.21,1,2,50,1000,2147483647
2,5,0,3406816058.000000,0.1,0.11,1,2,50,1000,2147483647
2,5,0,3406816058.000000,0.1,0.11,1,2,50,1000,2147483647
1,8,1,3406816058.000000,0.1,0.11,1,2,50,1000,2147483647
2,5,0,3406816058.000000,0.1,0.11,1,2,50,1000,2147483647
2,5,0,2328671653.000000,0.01,0.02,1,2,50,1000,2147483647
1,8,0,2328671653.000000,0.01,0.02,1,2,50,1000,2147483647
2,5,0,2328671653.000000,0.01,0.02,1,2,50,1000,2147483647
2,5,0,2328671653.000000,0.01,0.02,1,2,50,1000,2147483647
2,5,0,2328671653.000000,0.01,0.02,1,2,50,1000,2147483647
0,23,0,2287308447.000000,1,1.1,-1,-1,50,1000,2147483647
0,14,3,2287308447.000000,1,1.1,-1,-1,50,1000,2147483647
0,13,1,2287308447.000000,1,1.1,-1,-1,50,1000,2147483647
7,0,0,2560018017.000000,-1,-1,1,2,30,1000,2147483647
7,0,0,2560018017.000000,-1,-1,1,2,30,1000,2147483647
7,0,0,2560018017.000000,-1,-1,1,2,30,1000,2147483647
7,0,0,2560018017.000000,-1,-1,1,2,30,1000,2147483647
5,0,1,3603739762.000000,1.7,1.71,1,2,30,1000,2147483647
4,2,0,2744869667.000000,1.6,1.61,1,2,30,1000,2147483647
5,0,1,2977897948.000000,1.3,1.31,1,2,30,1000,2147483647
5,1,0,3775597982.000000,1.2,1.21,1,2,30,1000,2147483647
