recombinations,sequencing errors,recurrent mutations,run seed,se_cost,rm_cost,r_cost,rr_cost,temp,recomb_max,rm_max
7,0,0,2141153444.000000,-1,-1,1,2,50,7,2147483647
8,0,0,3058162831.000000,-1,-1,1,2,50,1000,2147483647
7,0,0,1713955921.000000,-1,-1,1,2,50,1000,2147483647
9,0,0,3414987856.000000,-1,-1,1,2,50,1000,2147483647
7,0,0,3456933462.000000,-1,-1,1,2,50,1000,2147483647
9,0,0,2323637075.000000,-1,-1,1,2,50,1000,2147483647
7,0,0,2859558179.000000,-1,-1,1,2,50,1000,2147483647
10,0,0,2756957491.000000,-1,-1,1,2,50,1000,2147483647
7,0,0,1666961411.000000,-1,-1,1,2,50,1000,2147483647
7,0,0,3285031702.000000,-1,-1,1,2,50,1000,2147483647
10,0,0,3274404658.000000,1.9,1.91,1,2,50,1000,2147483647
-1,-1,-1,2933233306.000000,1.9,1.91,1,2,50,1000,2147483647
-1,-1,-1,1676670237.000000,1.9,1.91,1,2,50,1000,2147483647
-1,-1,-1,3408387191.000000,1.9,1.91,1,2,50,1000,2147483647
9,0,0,1830779437.000000,1.9,1.91,1,2,50,1000,2147483647
6,1,0,1904728438.000000,1.9,1.91,1,2,50,1000,2147483647
-1,-1,-1,1718420210.000000,1.9,1.91,1,2,50,1000,2147483647
-1,-1,-1,2190785458.000000,1.9,1.91,1,2,50,1000,2147483647
-1,-1,-1,2082248565.000000,1.9,1.91,1,2,50,1000,2147483647
9,0,0,3413970845.000000,1.9,1.91,1,2,50,1000,2147483647
7,0,0,3724793979.000000,1.8,1.81,1,2,50,1000,2147483647
-1,-1,-1,2458560439.000000,1.8,1.81,1,2,50,1000,2147483647
8,0,0,1864021233.000000,1.8,1.81,1,2,50,1000,2147483647
9,0,0,3401207887.000000,1.8,1.81,1,2,50,1000,2147483647
7,0,0,1914143422.000000,1.8,1.81,1,2,50,1000,2147483647
7,0,0,3488640357.000000,1.8,1.81,1,2,50,1000,2147483647
-1,-1,-1,2760750832.000000,1.8,1.81,1,2,50,1000,2147483647
7,0,0,2760131989.000000,1.8,1.81,1,2,50,1000,2147483647
5,2,0,3245606803.000000,1.8,1.81,1,2,50,1000,2147483647
-1,-1,-1,2479284932.000000,1.8,1.81,1,2,50,1000,2147483647
-1,-1,-1,3418026835.000000,1.7,1.71,1,2,50,1000,2147483647
-1,-1,-1,2810240446.000000,1.7,1.71,1,2,50,1000,2147483647
