recombinations,sequencing errors,recurrent mutations,run seed,se_cost,rm_cost,r_cost,rr_cost,temp,recomb_max,rm_max
7,0,0,1878900993.000000,-1,-1,1,2,50,7,2147483647
7,0,0,1702753314.000000,-1,-1,1,2,50,1000,2147483647
7,0,0,3429411867.000000,-1,-1,1,2,50,1000,2147483647
8,0,0,3206927316.000000,-1,-1,1,2,50,1000,2147483647
8,0,0,2669699201.000000,-1,-1,1,2,50,1000,2147483647
7,0,0,3737003745.000000,-1,-1,1,2,50,1000,2147483647
7,0,0,2816851801.000000,-1,-1,1,2,50,1000,2147483647
8,0,0,1720901428.000000,-1,-1,1,2,50,1000,2147483647
7,0,0,2209838461.000000,-1,-1,1,2,50,1000,2147483647
7,0,0,2458891342.000000,-1,-1,1,2,50,1000,2147483647
5,1,0,2424545607.000000,1.9,1.91,1,2,50,1000,2147483647
6,1,0,2973651833.000000,1.9,1.91,1,2,50,1000,2147483647
-1,-1,-1,1769751700.000000,1.9,1.91,1,2,50,1000,2147483647
-1,-1,-1,2702015122.000000,1.9,1.91,1,2,50,1000,2147483647
-1,-1,-1,3148838039.000000,1.9,1.91,1,2,50,1000,2147483647
-1,-1,-1,3711757184.000000,1.9,1.91,1,2,50,1000,2147483647
8,0,0,3162915052.000000,1.9,1.91,1,2,50,1000,2147483647
-1,-1,-1,2838646162.000000,1.9,1.91,1,2,50,1000,2147483647
6,1,0,3173033986.000000,1.9,1.91,1,2,50,1000,2147483647
-1,-1,-1,3095028167.000000,1.9,1.91,1,2,50,1000,2147483647
-1,-1,-1,2387640776.000000,1.8,1.81,1,2,50,1000,2147483647
-1,-1,-1,2696649011.000000,1.8,1.81,1,2,50,1000,2147483647
5,1,0,3164259395.000000,1.8,1.81,1,2,50,1000,2147483647
-1,-1,-1,2856066259.000000,1.8,1.81,1,2,50,1000,2147483647
-1,-1,-1,3041086958.000000,1.8,1.81,1,2,50,1000,2147483647
-1,-1,-1,3152333508.000000,1.8,1.81,1,2,50,1000,2147483647
-1,-1,-1,3218559199.000000,1.8,1.81,1,2,50,1000,2147483647
4,1,1,1725709129.000000,1.8,1.81,1,2,50,1000,2147483647
-1,-1,-1,1986976431.000000,1.8,1.81,1,2,50,1000,2147483647
-1,-1,-1,2742887690.000000,1.8,1.81,1,2,50,1000,2147483647
-1,-1,-1,2076847023.000000,1.7,1.71,1,2,50,1000,2147483647
7,0,0,2314541010.000000,1.7,1.71,1,2,50,1000,2147483647
-1,-1,-1,2290178720.000000,1.7,1.71,1,2,50,1000,2147483647
5,1,0,3310518891.000000,1.7,1.71,1,2,50,1000,2147483647
-1,-1,-1,3446082592.000000,1.7,1.71,1,2,50,1000,2147483647
7,0,0,3546839923.000000,1.7,1.71,1,2,50,1000,2147483647
-1,-1,-1,1917383153.000000,1.7,1.71,1,2,50,1000,2147483647
6,1,0,3245880669.000000,1.7,1.71,1,2,50,1000,2147483647
5,0,1,3150723832.000000,1.7,1.71,1,2,50,1000,2147483647
8,0,0,1864954347.000000,1.7,1.71,1,2,50,1000,2147483647
6,1,0,2178381158.000000,1.6,1.61,1,2,50,1000,2147483647
-1,-1,-1,2804268649.000000,1.6,1.61,1,2,50,1000,2147483647
-1,-1,-1,2627613178.000000,1.6,1.61,1,2,50,1000,2147483647
4,2,0,2611150600.000000,1.6,1.61,1,2,50,1000,2147483647
-1,-1,-1,3567067839.000000,1.6,1.61,1,2,50,1000,2147483647
-1,-1,-1,2240021463.000000,1.6,1.61,1,2,50,1000,2147483647
-1,-1,-1,1749055880.000000,1.6,1.61,1,2,50,1000,2147483647
-1,-1,-1,3253079030.000000,1.6,1.61,1,2,50,1000,2147483647
6,1,0,2406414570.000000,1.6,1.61,1,2,50,1000,2147483647
-1,-1,-1,2803194851.000000,1.6,1.61,1,2,50,1000,2147483647
-1,-1,-1,3745730465.000000,1.5,1.51,1,2,50,1000,2147483647
6,1,0,2641415060.000000,1.5,1.51,1,2,50,1000,2147483647
6,1,0,2129748146.000000,1.5,1.51,1,2,50,1000,2147483647
-1,-1,-1,3575670620.000000,1.5,1.51,1,2,50,1000,2147483647
