recombinations,back mutations,recurrent mutations,run seed,recombination cost,recurrent mutation cost,back mutation cost
9,0,1,1014,0.5,1,1
9,0,0,485285640,0.5,1,1
8,1,0,1672023217,0.5,1,1
12,1,0,451181880,0.5,1,1
10,0,2,1670804219,0.5,1,1
10,0,1,1014,0.5,1,1
9,0,0,485285640,0.5,1,1
8,1,0,1672023217,0.5,1,1
12,0,0,451181880,0.5,1,1
10,0,2,1670804219,0.5,1,1
10,0,1,1014,0.5,1,1
9,0,0,485285640,0.5,1,1
8,1,0,1672023217,0.5,1,1
12,2,0,451181880,0.5,1,1
10,0,2,1670804219,0.5,1,1
9,0,1,1014,0.5,1,1
9,0,0,485285640,0.5,1,1
11,0,0,1672023217,0.5,1,1
10,0,0,451181880,0.5,1,1
10,4,1,1670804219,0.5,1,1
9,0,1,1014,0.5,1,1
9,0,0,485285640,0.5,1,1
8,1,0,1672023217,0.5,1,1
12,1,0,451181880,0.5,1,1
9,1,2,1670804219,0.5,1,1
9,0,1,1014,0.5,1,1
9,0,0,485285640,0.5,1,1
8,1,0,1672023217,0.5,1,1
12,0,0,451181880,0.5,1,1
9,1,2,1670804219,0.5,1,1
10,0,1,1014,0.5,1,1
9,1,0,485285640,0.5,1,1
9,1,0,1672023217,0.5,1,1
8,0,1,451181880,0.5,1,1
10,0,2,1670804219,0.5,1,1
10,0,1,1014,0.5,1,1
9,1,0,485285640,0.5,1,1
9,1,0,1672023217,0.5,1,1
12,1,0,451181880,0.5,1,1
10,0,2,1670804219,0.5,1,1
10,0,1,1014,0.5,1,1
9,1,0,485285640,0.5,1,1
9,1,0,1672023217,0.5,1,1
12,1,0,451181880,0.5,1,1
10,0,2,1670804219,0.5,1,1
9,0,1,1014,0.5,1,1
5,0,2,485285640,0.5,1,1
8,1,0,1672023217,0.5,1,1
8,1,1,451181880,0.5,1,1
9,0,1,1670804219,0.5,1,1
9,0,1,1014,0.5,1,1
9,0,1,485285640,0.5,1,1
8,1,0,1672023217,0.5,1,1
11,1,0,451181880,0.5,1,1
11,0,2,1670804219,0.5,1,1
10,0,1,1014,0.5,1,1
9,0,1,485285640,0.5,1,1
9,1,0,1672023217,0.5,1,1
12,1,0,451181880,0.5,1,1
12,1,1,1670804219,0.5,1,1
10,0,1,1014,0.5,1,1
9,0,1,485285640,0.5,1,1
9,1,0,1672023217,0.5,1,1
12,1,0,451181880,0.5,1,1
12,1,1,1670804219,0.5,1,1
10,0,1,1014,0.5,1,1
9,0,1,485285640,0.5,1,1
10,0,1,1672023217,0.5,1,1
