recombinations,back mutations,recurrent mutations,run seed,recombination cost,recurrent mutation cost,back mutation cost
6,0,1,1052,0.5,1,1
5,0,1,1011752040,0.5,1,1
4,2,0,637644867,0.5,1,1
4,2,0,518918092,0.5,1,1
8,0,1,682972534,0.5,1,1
1,1,7,682972534,1,1,1
4,2,6,359851290,1,1,1
3,1,5,1401244581,1,1,1
3,0,6,769105342,1,1,1
0,3,7,722159244,1,1,1
0,3,7,722159244,1.1,1,1
4,2,4,853712025,1.1,1,1
3,2,4,225053591,1.1,1,1
4,0,3,2033147817,1.1,1,1
3,1,2,1532600195,1.1,1,1
3,1,2,1532600195,1.5,1,1
0,5,6,2034744713,1.5,1,1
2,1,4,1254188697,1.5,1,1
3,2,1,631914601,1.5,1,1
4,1,6,548001718,1.5,1,1
1,4,9,548001718,2,1,1
1,1,7,850366173,2,1,1
1,1,9,1670675198,2,1,1
1,3,7,1828558317,2,1,1
3,2,1,2137037396,2,1,1
7,0,0,2137037396,0.5,1,1.1
8,0,0,1532048957,0.5,1,1.1
10,0,0,861323980,0.5,1,1.1
9,1,0,733267941,0.5,1,1.1
10,0,0,449853785,0.5,1,1.1
3,0,6,449853785,1,1,1.1
4,0,5,588105424,1,1,1.1
2,0,9,110793926,1,1,1.1
4,0,3,1883489849,1,1,1.1
4,0,4,1171653669,1,1,1.1
4,0,4,1171653669,1.1,1,1.1
3,1,2,938369034,1.1,1,1.1
1,1,9,1969899401,1.1,1,1.1
4,0,3,1826771863,1.1,1,1.1
3,1,3,1788406484,1.1,1,1.1
3,1,3,1788406484,1.5,1,1.1
1,4,6,1826844613,1.5,1,1.1
1,0,10,1394389911,1.5,1,1.1
3,0,8,1629662010,1.5,1,1.1
3,0,5,2111540978,1.5,1,1.1
2,0,7,2111540978,2,1,1.1
2,0,8,1141709649,2,1,1.1
1,1,7,1341205305,2,1,1.1
3,2,7,316530135,2,1,1.1
2,3,5,1249085955,2,1,1.1
8,1,0,1249085955,0.5,1,1.5
10,1,1,1150387919,0.5,1,1.5
9,0,0,1198219199,0.5,1,1.5
10,0,1,999551066,0.5,1,1.5
11,1,0,182984560,0.5,1,1.5
2,0,8,182984560,1,1,1.5
2,0,9,1117295634,1,1,1.5
4,0,5,641792944,1,1,1.5
1,0,11,1643905229,1,1,1.5
4,0,5,905699961,1,1,1.5
4,0,5,905699961,1.1,1,1.5
1,0,12,314132628,1.1,1,1.5
5,1,5,860248956,1.1,1,1.5
3,0,5,1663919107,1.1,1,1.5
4,0,3,1962185015,1.1,1,1.5
4,0,3,1962185015,1.5,1,1.5
2,3,7,1574332767,1.5,1,1.5
3,2,1,90293717,1.5,1,1.5
4,0,8,347390312,1.5,1,1.5
3,2,1,1778098288,1.5,1,1.5
2,2,3,1778098288,2,1,1.5
3,1,5,1600020576,2,1,1.5
1,0,9,167821006,2,1,1.5
4,4,0,1602776729,2,1,1.5
1,0,9,210116260,2,1,1.5
5,0,2,210116260,0.5,1,2
7,0,0,806545627,0.5,1,2
9,0,0,1167492115,0.5,1,2
8,0,1,1737401394,0.5,1,2
8,0,2,2056069040,0.5,1,2
1,0,9,2056069040,1,1,2
1,0,9,793475566,1,1,2
4,0,4,540902485,1,1,2
3,0,4,1380461116,1,1,2
4,0,2,271098495,1,1,2
4,0,2,271098495,1.1,1,2
1,0,9,532032138,1.1,1,2
3,0,9,809064416,1.1,1,2
4,0,7,1719726469,1.1,1,2
4,0,5,2133985577,1.1,1,2
4,0,5,2133985577,1.5,1,2
4,0,4,1150415410,1.5,1,2
4,2,0,1851319867,1.5,1,2
4,0,2,231615873,1.5,1,2
5,2,1,1715877734,1.5,1,2
4,4,2,1715877734,2,1,2
1,1,7,172298940,2,1,2
1,1,7,585930390,2,1,2
2,1,4,421196495,2,1,2
1,1,10,104879979,2,1,2
5,9,5,1946,0.5,1,1
7,3,5,1642919488,0.5,1,1
7,2,4,1959311468,0.5,1,1
4,3,10,78043414,0.5,1,1
5,0,10,161048842,0.5,1,1
5,0,8,1376040798,0.5,1,1
3,3,5,1110027402,0.5,1,1
5,1,7,891951756,0.5,1,1
4,9,1,2038076296,0.5,1,1
7,2,5,1836413061,0.5,1,1
3,1,7,1836413061,1,1,1
3,2,5,551034419,1,1,1
3,2,6,278420675,1,1,1
3,4,4,1842930539,1,1,1
3,2,4,11918506,1,1,1
1,1,9,1107458097,1,1,1
2,1,8,1907884880,1,1,1
3,3,5,1756744668,1,1,1
2,1,8,1307642299,1,1,1
5,1,6,346878245,1,1,1
5,0,6,346878245,1.1,1,1
3,3,4,659345342,1.1,1,1
7,2,5,768631448,1.1,1,1
5,3,4,298662149,1.1,1,1
4,4,4,90863594,1.1,1,1
4,3,3,2054542605,1.1,1,1
2,4,4,1742579061,1.1,1,1
4,0,6,646955026,1.1,1,1
4,9,2,2001321853,1.1,1,1
4,0,7,1708137332,1.1,1,1
2,0,9,1708137332,1.5,1,1
1,3,7,1052768031,1.5,1,1
1,5,5,1098908025,1.5,1,1
3,0,7,1394389026,1.5,1,1
0,1,10,558056697,1.5,1,1
3,0,8,1675144582,1.5,1,1
2,1,6,468372563,1.5,1,1
0,5,7,1007528858,1.5,1,1
2,9,3,622121138,1.5,1,1
1,5,5,60075620,1.5,1,1
0,7,4,60075620,2,1,1
0,5,6,221670266,2,1,1
