Bound type, bound value, parameter (k/m)
hudson_overlap,17,
RecMin,29,
RecMinRobust,22,
hudson_nonoverlap,14,
robust_hudson,8,2
robust_hudson,6,3
robust_hudson,5,4
strong_hudson,3,2
strong_hudson,1,3
strong_hudson,1,4
adversarial_hudson,17,0
adversarial_hudson,15,1
adversarial_hudson,14,2
adversarial_hudson,13,3
adversarial_hudson,12,4
adversarial_hudson,11,5
random_adversarial_hudson,17,0
random_adversarial_hudson,15,1
random_adversarial_hudson,14,2
random_adversarial_hudson,13,3
random_adversarial_hudson,12,4
random_adversarial_hudson,11,5
random_adversarial_hudson,10,6
random_adversarial_hudson,10,7
random_adversarial_hudson,10,8
random_adversarial_hudson,9,9
random_adversarial_hudson,8,10
