Bound type, bound value, parameter (k/m)
hudson_overlap,26,
RecMin,50,
RecMinRobust,31,
hudson_nonoverlap,16,
robust_hudson,10,2
robust_hudson,7,3
robust_hudson,5,4
strong_hudson,7,2
strong_hudson,4,3
strong_hudson,3,4
adversarial_hudson,26,0
adversarial_hudson,24,1
adversarial_hudson,22,2
adversarial_hudson,21,3
adversarial_hudson,19,4
adversarial_hudson,18,5
random_adversarial_hudson,26,0
random_adversarial_hudson,24,1
random_adversarial_hudson,23,2
random_adversarial_hudson,22,3
random_adversarial_hudson,20,4
random_adversarial_hudson,19,5
random_adversarial_hudson,18,6
random_adversarial_hudson,17,7
random_adversarial_hudson,16,8
random_adversarial_hudson,16,9
random_adversarial_hudson,15,10
